Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H01S1V001,H01S1V002,H01S1V003,H01S1V004,H01S1V005,H01S1V006,H01S1V007,H01S1V008,H01S1V009,H01S1V010,H01S1V011,H01S1V012,H01S1V013,H01S1V014,H01S1V015,H01S1V016,H01S1V017,H01S1V018,H01S1V019,H01S1V020,H01S1V021,H01S1V022,H01S1V023,H01S1V024,H01S1V025,H01S1V026,H01S1V027,H01S1V028,H01S1V029,H01S1V030,H01S1V034,H01S1V035,H01S1V036,H01S1V037,H01S1V038,H01S1V039,H01S1V040,H01S1V041,H01S1V042,H01S1V043,H01S1V044,H01S1V045,H01S1V046,H01S1V047,H01S1V048,H01S1V049,H01S1V050,H01S1V051,H01S1V052,H01S1V053,H01S1V054,H01S1V055,H01S2V001,H01S2V002,H01S2V003,H01S2V004,H01S2V005,H01S2V006,H01S2V007,H01S2V008,H01S2V009,H01S2V010,H01S2V011,H01S2V012,H01S2V013,H01S2V014,H01S2V015,H01S2V016,H01S2V017,H01S2V018,H01S2V019,H01S2V020,H01S2V021,H01S2V022,H01S2V023,H01S2V024,H01S2V025,H01S2V026,H01S2V027,H01S2V028,H01S2V029,H01S2V030,H01S2V031,H01S2V032,H01S2V033,H01S2V034,H01S2V035,H01S2V036,H01S2V037,H01S2V038,H01S2V039,H01S2V040,H01S2V041,H01S2V042,H01S2V043,H01S3V001,H01S3V002,H01S3V003,H01S3V004,H01S3V005,H01S3V006,H01S3V007,H01S3V008,H01S3V009,H01S3V010,H01S3V011,H01S3V012,H01S3V013,H01S3V014,H01S3V015,H01S3V016,H01S3V017,H01S3V018,H01S3V019,H01S3V020,H01S3V021,H01S3V022,H01S3V023,H01S3V024,H01S3V025,H01S3V026,H01S3V027,H01S3V028,H01S3V029,H01S3V030,H01S3V031,H01S3V032,H01S3V033,H01S3V034,H01S3V035,H01S3V036,H01S3V037,H01S3V038,H01S3V039,H01S3V040,H01S3V041,H01S3V042,H01S3V043,H01S3V044,H01S3V045,H01S3V046,H01S3V047,H01S3V048,H01S3V049,H01S3V050,H01S3V051,H01S3V052,H01S3V053,H01S3V054,H01S3V055,H01S3V056,H01S3V057,H01S3V058,H01S3V059,H01S3V060,H01S3V061,H01S3V062,H01S3V063,H01S3V064,H01S3V065,H01S3V066,H01S3V067,H01S3V068,H01S3V069,H01S3V070,H01S3V071,H01S3V072,H01S3V073,H01S4V001,H01S4V002,H01S4V003,H01S4V004,H01S4V005,H01S4V006,H01S4V007,H01S4V008,H01S4V009,H01S4V010,H01S4V011,H01S4V012,H01S4V013,H01S4V014,H01S4V015,H01S4V016,H01S4V017,H01S4V018,H01S4V019,H01S4V020,H01S4V021,H01S4V022,H01S4V023,H01S4V024,H01S4V025,H01S4V026,H01S4V027,H01S4V028,H01S4V029,H01S4V030,H01S4V031,H01S4V032,H01S4V033,H01S4V034,H01S4V035,H01S4V036,H01S4V037,H01S4V038,H01S4V039,H01S4V040,H01S4V041,H01S4V042,H01S4V043,H01S4V044,H01S4V045,H01S4V046,H01S4V047,H01S4V048,H01S4V049,H01S4V050,H01S4V051,H01S4V052,H01S4V053,H01S4V054,H01S4V055,H01S4V056,H01S4V057,H01S5V001,H01S5V002,H01S5V003,H01S5V004,H01S5V005,H01S5V006,H01S5V007,H01S5V008,H01S5V009,H01S5V010,H01S5V011,H01S5V012,H01S5V013,H01S5V014,H01S5V015,H01S5V016,H01S5V017,H01S5V018,H01S5V019,H01S5V020,H01S5V021,H01S5V022,H01S5V023,H01S5V024,H01S5V025,H01S5V026,H01S5V027,H01S5V028,H01S5V029,H01S5V030,H01S5V031,H01S5V032,H01S5V033,H01S5V034,H01S5V035,H01S5V036,H01S5V037,H01S5V038,H01S5V039,H01S5V040,H01S5V041,H01S5V042,H01S5V043,H01S5V044,H01S5V045,H01S5V046,H01S5V047,H01S5V048,H01S5V049,H01S5V050,H01S5V051,H01S5V052,H01S5V053,H01S5V054,H01S5V055,H01S5V056,H01S5V057,H01S5V058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.10.1867,12.11.1867,12.12.1867,12.14.1867,12.14.1867,12.17.1867,12.18.1867,12.19.1867,12.19.1867,12.20.1867,12.20.1867,03.20.1868,03.27.1868,04.01.1868,04.27.1868,04.27.1868,04.30.1868,04.30.1868,05.01.1868,05.01.1868,05.01.1868,05.01.1868,05.01.1868,05.02.1868,05.05.1868,05.05.1868,05.05.1868,05.06.1868,05.06.1868,05.08.1868,05.11.1868,05.13.1868,05.13.1868,05.14.1868,05.14.1868,05.15.1868,05.15.1868,05.15.1868,05.16.1868,05.16.1868,05.16.1868,05.16.1868,05.16.1868,05.16.1868,05.18.1868,05.18.1868,05.18.1868,05.18.1868,05.19.1868,05.19.1868,05.19.1868,05.20.1868,04.28.1869,05.12.1869,05.14.1869,05.18.1869,05.18.1869,05.19.1869,05.21.1869,05.21.1869,05.21.1869,05.21.1869,05.25.1869,05.26.1869,05.28.1869,05.31.1869,06.03.1869,06.03.1869,06.03.1869,06.04.1869,06.04.1869,06.04.1869,06.07.1869,06.10.1869,06.10.1869,06.11.1869,06.11.1869,06.12.1869,06.12.1869,06.12.1869,06.13.1869,06.14.1869,06.15.1869,06.15.1869,06.15.1869,06.15.1869,06.16.1869,06.16.1869,06.16.1869,06.17.1869,06.17.1869,06.18.1869,06.19.1869,06.19.1869,06.19.1869,03.04.1870,03.09.1870,03.17.1870,03.17.1870,03.17.1870,03.21.1870,03.22.1870,03.22.1870,03.22.1870,03.31.1870,03.31.1870,03.31.1870,04.01.1870,04.01.1870,04.01.1870,04.05.1870,04.05.1870,04.05.1870,04.07.1870,04.07.1870,04.07.1870,04.07.1870,04.12.1870,04.20.1870,04.20.1870,04.20.1870,04.20.1870,04.20.1870,04.21.1870,04.21.1870,04.21.1870,04.22.1870,04.22.1870,04.23.1870,04.23.1870,04.24.1870,04.25.1870,04.25.1870,04.28.1870,04.28.1870,04.29.1870,04.29.1870,04.29.1870,04.30.1870,04.30.1870,04.30.1870,04.30.1870,04.30.1870,04.30.1870,05.04.1870,05.05.1870,05.05.1870,05.06.1870,05.06.1870,05.06.1870,05.06.1870,05.06.1870,05.06.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.10.1870,05.11.1870,05.11.1870,02.27.1871,02.28.1871,03.08.1871,03.10.1871,03.13.1871,03.13.1871,03.13.1871,03.13.1871,03.15.1871,03.15.1871,03.17.1871,03.22.1871,03.22.1871,03.27.1871,03.27.1871,03.27.1871,03.27.1871,03.27.1871,03.30.1871,03.30.1871,03.30.1871,03.30.1871,03.30.1871,03.31.1871,03.31.1871,03.31.1871,03.31.1871,03.31.1871,04.01.1871,04.01.1871,04.01.1871,04.03.1871,04.03.1871,04.04.1871,04.04.1871,04.04.1871,04.04.1871,04.05.1871,04.05.1871,04.08.1871,04.08.1871,04.08.1871,04.08.1871,04.08.1871,04.08.1871,04.08.1871,04.10.1871,04.10.1871,04.11.1871,04.11.1871,04.11.1871,04.11.1871,04.11.1871,04.12.1871,04.12.1871,04.12.1871,04.12.1871,04.25.1872,04.25.1872,04.25.1872,05.02.1872,05.06.1872,05.07.1872,05.07.1872,05.07.1872,05.16.1872,05.16.1872,05.16.1872,05.17.1872,05.17.1872,05.17.1872,05.21.1872,05.22.1872,05.22.1872,05.22.1872,05.22.1872,05.23.1872,05.23.1872,05.23.1872,05.24.1872,05.29.1872,05.29.1872,05.29.1872,05.31.1872,05.31.1872,05.31.1872,05.31.1872,06.01.1872,06.01.1872,06.03.1872,06.03.1872,06.03.1872,06.04.1872,06.04.1872,06.04.1872,06.05.1872,06.05.1872,06.06.1872,06.07.1872,06.07.1872,06.08.1872,06.08.1872,06.08.1872,06.08.1872,06.08.1872,06.08.1872,06.08.1872,06.08.1872,06.10.1872,06.10.1872,06.11.1872,06.11.1872,06.12.1872,06.12.1872,06.13.1872
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",3,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,5,5,5,1,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,5,3,5,5,5,1,5,5,5,5,5,1,1,5,5,3,3,3,5,5,5,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,1,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,1,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,3,5,3
29,BAGOT,Quebec,1867 - 1933,1,1867.08.07,92,078fa3be-0dc1-4adb-b5b2-bb8040ca4f5a,"GENDRON, Pierre-Samuel",1156,0.5653,Conservative (1867-1942),Notary,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,2,2,2,2,1,2,9,9,9,2,1,2,2,2,2,1,2,2,1,9,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,9,1,2,2,2,2,1,9,1,2,1,1,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,9,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,2,2,2,2,1,9,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,9,9,9,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,9,1,9
36,BEAUCE,Quebec,1867 - ,1,1867.08.07,104,08f7401c-83f1-4f24-97d5-36a5b429c7dc,"POZER, Christian Henry",1180,0.6523,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,9,2,1,1,9,2,2,1,2,9,1,2,9,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,9,9,9,1,1,1,2,2,1,2,9,1,1,1,2,1,9,1,9,2,1,1,1,1,9,1,1,2,9,2,2,2,1,2,9,9,9,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,9,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,9,9,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,9,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,9,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,9,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,9,9,2,2,1,2,9,2,9
810,WESTMORLAND,New Brunswick,1867 - 1966,1,1867.08.07,196,0f4b5eed-899b-4b7b-92bd-57c809d15075,"SMITH, Hon. Albert James",2207,0.8294,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,9,1,1,1,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,1,1,2,2,2,1,1,9,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,9,1,2,9,9,9,9,9,9,9,2,2,2,2,2,2,2,9,9,2,1,1,2,2,2,9,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,2,9,9,9,9,2,1,1,1,1,1,2,1,2,9,1,1,1,1,2,1,2,1,1,1,1,2,9,1,1,2,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,1,2,1,2,2,2,1,1,1,2,9,9,9,2,2,2,2,2,9,2,1,2,2,1,2,9,2,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
443,MIDDLESEX WEST,Ontario,1867 - 1966,1,1867.08.07,219,10a5d21d-95fa-4f54-91f3-3a9601178db5,"MCDONALD, Angus Peter",1063,0.5045,Conservative (1867-1942),Contractor,Protestant,0,1,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,9,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,9,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,9,9,9,9,2,9,9,9,9,9,2,2,2,1,2,2,2,2,2,1,2,2,2,2,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,9,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,9,9,9,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,9,1,1,2,9,1,2,2,2,2,2,2,2,2,9,9,9,2,2,2,1
743,WEST TORONTO,Ontario,1867 - 1903,1,1867.08.07,255,1318f683-9b28-47f6-81cb-05c9c3d74045,"HARRISON, Robert Alexander",1477,0.585,Conservative (1867-1942),"Author, lawyer",Protestant,0,1,,,,,,,,,,,,,1,2,9,2,2,9,2,2,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,2,2,2,1,2,9,9,9,9,2,2,2,1,2,2,9,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,2,2,2,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,2,2,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,1
723,TERREBONNE,Quebec,1867 - 1996,1,1867.08.07,297,162e1738-e1ae-482e-bc9a-4a027894f387,"MASSON, Louis-Francois-Rodrigue",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,9,9,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,9,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,1,1,1,2,2,2,2,1,2,1,9,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,9,9,9,9,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,9,9,9
309,IBERVILLE,Quebec,1867 - 1892,1,1867.08.07,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BECHARD, Francois",1035,0.6725,Liberal Party of Canada,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,9,9,1,1,1,9,2,9,9,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,9,9,9,9,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,9,1,1,1,1,2,2,2,1,1,2,1,9,1,2,2,9,1,2,2,1,9,9,1,9,9,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,9,1,2,1,2,2,2,2,1,1,2,1,1,1,2,9,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,9,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,9,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,9,9,9
